Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
840000,1.3767182,0.0002949902,-0.074701354,-1.3329332508971372,1639.6666666666667,-1.416266535835651
850000,1.1126422,0.0002949302,-0.07739843,-1.0829332706392354,1639.6666666666667,-1.0829332732828334
860000,1.1553758,0.0002948702,-0.078728855,-1.2495999291956348,1639.6666666666667,-1.2495999275318657
870000,1.2635171,0.0002948102,-0.079547256,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
880000,1.4344015,0.0002947502,-0.08229038,-1.0829332706392354,1639.6666666666667,-1.0829332732828334
890000,1.1826966,0.0002946902,-0.095618285,-0.9995999489377331,1639.6666666666667,-0.999599964163887
900000,1.0669333,0.00029463018,-0.09213186,-1.4162665710270328,1639.6666666666667,-1.416266555703866
910000,0.90064585,0.0002945702,-0.08422753,-1.249599920833134,1639.6666666666667,-1.166266566879737
920000,0.8397203,0.00029451022,-0.06458873,-0.9995999505093399,1639.6666666666667,-1.0829332633487259
930000,0.8803685,0.0002944502,-0.07371986,-1.6662665711531492,1639.6666666666667,-1.1662666066161667
940000,0.7172834,0.0002943902,-0.06575777,-1.0829332674960217,1639.6666666666667,-1.5829331590405975
950000,0.73827004,0.00029433018,-0.07774934,-1.3329332608312445,1639.6666666666667,-1.332933221749651
960000,0.9642948,0.0002942702,-0.0755301,-1.1662666007032385,1639.6666666666667,-0.9995999505044892
970000,0.7870552,0.0002942102,-0.08019751,-1.166266610637346,1639.6666666666667,-1.332933252172855
980000,0.9427033,0.0002941502,-0.06680061,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
990000,0.86308753,0.0002940902,-0.05076891,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1000000,0.8699515,0.0002940302,-0.07050833,-1.0829332706392354,1639.6666666666667,-1.0829332534146185
1010000,0.9228148,0.0002939702,-0.05672094,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1020000,0.9535116,0.0002939102,-0.06829912,-1.166266590769131,1639.6666666666667,-0.9995999505044892
1030000,0.8079035,0.0002938502,-0.06704902,-1.3329332608312445,1639.6666666666667,-1.4995998579931136
1040000,0.8314161,0.00029379022,-0.07441609,-1.3329332691937452,1639.6666666666667,-1.3329332167825971
1050000,0.77435887,0.0002937302,-0.054418117,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1060000,1.0270002,0.0002936702,-0.06638027,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1070000,1.0434858,0.0002936102,-0.053121112,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1080000,0.65984243,0.0002935502,-0.041768275,-1.3329332508971372,1639.6666666666667,-1.3329332422387477
1090000,0.94601744,0.00029349021,-0.0750279,-1.166266590769131,1639.6666666666667,-1.1662665960611776
1100000,0.94247854,0.0002934302,-0.05484631,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1110000,0.9365319,0.0002933702,-0.063095644,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1120000,1.0449852,0.0002933102,-0.07616678,-1.4995999110251432,1639.6666666666667,-1.499599819498447
1130000,1.0044867,0.0002932502,-0.07151689,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1140000,0.9801218,0.00029319018,-0.066905715,-0.91626661887373,1639.6666666666667,-0.9162666314514354
1150000,0.8303721,0.0002931302,-0.07616547,-0.91626661887373,1639.6666666666667,-0.9162666314514354
1160000,0.9648338,0.0002930702,-0.06515398,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1170000,0.8670127,0.00029301018,-0.058802888,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1180000,0.89616954,0.0002929502,-0.051500604,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1190000,0.7805837,0.0002928902,-0.059000675,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1200000,1.0529656,0.0002928302,-0.063482136,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1210000,1.1605166,0.0002927702,-0.0597032,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1220000,0.9149939,0.0002927102,-0.06929895,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1230000,0.8049248,0.0002926502,-0.07047248,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1240000,0.7067531,0.0002925902,-0.06952311,-1.1662666007032385,1639.6666666666667,-0.9995999505044892
1250000,0.93334293,0.0002925302,-0.06214513,-0.9995999505093399,1639.6666666666667,-1.1662665960611776
1260000,0.8143575,0.00029247018,-0.06108861,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1270000,0.7443518,0.0002924102,-0.06307185,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1280000,0.71199846,0.0002923502,-0.061966803,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1290000,1.0975527,0.0002922902,-0.05833022,-1.166266610637346,1639.6666666666667,-1.1662665960611776
1300000,0.82192236,0.0002922302,-0.05879905,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1310000,0.92102396,0.0002921702,-0.055962056,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1320000,0.73259455,0.0002921102,-0.055034544,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1330000,1.0510534,0.0002920502,-0.05937639,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1340000,0.7168023,0.0002919902,-0.057343334,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1350000,0.7188099,0.0002919302,-0.054079317,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1360000,0.92944235,0.0002918702,-0.059074625,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1370000,0.84459764,0.0002918102,-0.053519048,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1380000,0.94465184,0.0002917502,-0.051163867,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1390000,1.0767586,0.0002916902,-0.05969979,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
